text,user,location,genre,sentiment
Turn the volume up to 11 because tonight on CouchaPalooza were playing  – How The West Was Won listenlive at 9PM  CFOX YouRock livemusic ledzeppelin rockmusic MondayMotivation ,CFOXvan,Vancouver,rock,0.0
 We are working on a new album and WE WANT YOU TO BE A PART OF IT Details on how you can get involved in getting this project off the ground at the link in the bio Any help is appreciated NewMusic Kickstarter Music RockMusic,Newsician24,Wichita KS,rock,0.16818181818181818
On this day 21 years ago Limp Bizkit released their second studio album Significant Other via Flip Records limpbizkit significantother headrushtv album albums numetal rapmetal alternativemetal rock music metal hardrock rockstar headbanger metalhead rockmusic ,HeadRushTV,Boston MA USA,rock,0.012499999999999997
Neil Young exorcises his ghosts with Homegrown an album recorded in 1975 of which he declared to be ashamed by his intimate character  NeilYoung NeilYoungArchives popmusic musicapop Pop rock rockmusic rocknroll Rockstar Canada CanadaMusic,musicadictus,,rock,0.15000000000000002
On this day in Rock music history June 22nd 1992Black Sabbath returned with their 16th studio album titled DehumanizerThe album peaked at 44 on the Billboard 200 album chart blacksabbath rock metal heavymetal hardrock rockmusic classicrock rockisNOTdead ,jegentry66,Shreveport La,rock,0.0
On this day in Rock music history June 22nd 1981 Foreigner released the single Urgent It was the 1st single from their album 4 The song peaked at 4 on the Billboard Hot 100 and it held that spot for an entire month foreigner rock hardrock rockmusic urgent classicrock ,jegentry66,Shreveport La,rock,0.026785714285714288
A new film investigates the causes of the death of Brian Jones and reinforces the thesis of the murder  murdermystery BrianJones RollingStones musica MusicMonday Rockstar Rock rockmusic musicarock rocknroll Cinema cine movies Documentary,musicadictus,,rock,0.06818181818181818
The Beatles Penny Lane Namesake Wasnt In Honor Of A Slave Merchant classicrock rocknroll rockmusic rockband ,KGBSanDiego,San Diego CA,rock,0.0
  Thanks to the fans who voted my song to the top spot  topsong BESTSONG bestrockmusic rockmusic rocksong rocknroll 80s 80smusic   see more ,SanremoAncheNoi,Milan italy,rock,0.39999999999999997
Paul McCartney Dave Grohl And More Cover When The Saints Go Marchin In classicrock rocknroll rockmusic rockband ,KGBSanDiego,San Diego CA,rock,0.5
Swipe for reality heyalishapace • • • • • • • • nashville nashvillemusic livemusic countrymusic singersongwriter singer songwriter nashvilletourstop Do615 Deaf rockmusic  Nashville Tennessee ,theaaronschilb,Nashville TN,rock,0.0
they always think it rockMusic  ,JvsVirgo22,Long Island,rock,0.0
Recently Lindsey Stirling did a String Session with Goo Goo Dolls Johnny Rzeznik along with a chat after Check it out at the link below  lindseystirling googoodolls johnnyrzeznik acoustic violinist violinists rock music rockstar rockmusic ,HeadRushTV,Boston MA USA,rock,0.0
Woohooo New music is coming along nicely and its delightfully dour  reasonstudios hobbyistmusician metalmusic rockmusic,kenodoom,Scotland,rock,0.5787878787878787
Chandlers got my back • • music rockmusic singersongwriter fyp tweet newgenerationrock katelynasimpsonmusic follow   ,KatelynASimpson,Austin Tx,rock,0.0
Photo By Peter Gabas  Unsplash  asiatravel culture holidaycrafts diyampcrafts rockmusic ,CraigHoffman11,Japan,rock,0.0
Such a challenging project but finally here is my Dr Neo Cortex mashup of the three Dr Neo Cortex themes with a rock twist  via  vgm crashbandicoot neocortex rockmusic 80srock,Consolous,Miami FL,rock,0.16666666666666666
Beautiful Facelifts Stitches Rub against your skin music katelynasimpsonmusic follow tweet newgenerationrock rockmusic singer songwriter womenwhorock altrock ,KatelynASimpson,Austin Tx,rock,0.85
CleaveApproved NewMusic MAITA Cant Blame a Kid Best Wishes One of our favorite tracks from the PortlandOregon singersongwriters awesome newalbum of indiemusic music indieartist indierock indiepop altrock altpop nowplaying rockmusic ,cleavemagazine,Rhode Island USA,rock,0.8333333333333334
Just realised I have above 100 YouTube subscribers That doesnt sound like a lot but Damn It does mean a lot to me   rockmusic HardRock bluesrock musicvideos guitarist guitar homerecording songwriting,BrinckmannSimon,Bocholt Deutschland,rock,0.029166666666666674
 Self Control HQmusicstream Laura Branigan04011984 LauraBranigan SelfControl  rockmusic synthpop powerpop 80s dancemusic rock popmusic newwave  femalevocals  GOODmusic  ,trickykid008,,rock,0.0
Anti Flag announces a Digital Tour that will be coming up soon Make sure to tune in antiflag headrushtv punk punkrock punkrockmusic punks rock music hardrock rockstar headbanger concert concerts livestream rockmusic news media musicnews bestband livemusic ,HeadRushTV,Boston MA USA,rock,0.25
This is my YouTube channel please subscribe  NowListening NowWatching music Techno technomusic House housemusic techhouse Pop popmusic electronicmusic rockmusic rock experimentalmusic psychedelic Progressiverock synthwave eclectic,AdivWilliams,Tijuana,rock,0.0
Today in movies that Rock June 22nd 1988 Who Framed Roger Rabbit premiered in theaters soundcheckwithgentry moviesthatrock rock rockmusic hardrock rockrageradio ,jegentry66,Shreveport La,rock,0.0
Heres my latest piece for Grunge This time Im talkin bout my generation and the music of my misspent youthThis is The Untold Truth of Grunge Music Enjoy grunge grungemusic 90s music rockmusic 90smusic Nirvana Pearljam Soundgarden ,WilliamJWright7,United States,rock,0.45
PUDDLE SHORTS  puddleofmudd puddleofmuddmerch merchandise musicband rock rockband rockmusic alternative alternativerock alternativerockmusic grunge shoppingonline ,puddleofmudd,Los Angeles CA,rock,0.0
